# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = array map insert
# Column 3 = linked map insert
# Column 4 = array map erase
# Column 5 = linked map erase
# Column 6 = array map contains
# Column 7 = linked map contains
# Column 8 = array map find range
# Column 9 = linked map find range
# Column 10 = array map next key
# Column 11 = linked map next key
# Column 12 = array map sorted keys
# Column 13 = linked map sorted keys
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
2000 0.00 0.00 0.05 9.24 0.02 8.82 0.04 8.80 0.02 8.80 0.29 9.14 
4000 0.00 0.00 0.06 35.73 0.04 35.68 0.07 36.12 0.04 36.25 0.58 36.47 
6000 0.00 0.00 0.06 80.95 0.06 83.24 0.11 83.25 0.07 81.45 0.95 81.51 
8000 0.00 0.00 0.08 141.04 0.08 142.53 0.13 142.59 0.09 141.87 1.24 148.08 
10000 0.00 0.00 0.10 221.67 0.10 229.43 0.17 239.74 0.12 224.30 1.58 231.09 
12000 0.00 0.00 0.12 320.16 0.12 324.90 0.18 333.35 0.15 322.94 1.89 323.61 
14000 0.00 0.00 0.15 433.55 0.13 446.71 0.19 437.04 0.18 434.34 2.23 436.10 
16000 0.00 0.00 0.17 565.27 0.15 569.87 0.22 578.36 0.20 577.86 2.57 569.24 
18000 0.00 0.00 0.19 712.86 0.19 723.18 0.25 751.31 0.23 736.23 3.02 721.53 
20000 0.00 0.00 0.23 884.50 0.19 902.19 0.27 903.86 0.29 900.70 3.35 893.61 
