# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = avg time array merge sort, reversed
# Column 3 = avg time array merge sort, shuffled
# Column 4 = avg time array quick sort, reversed
# Column 5 = avg time array quick sort, shuffled
# Column 6 = avg time array quick sort random, reversed
# Column 7 = avg time array quick sort random, shuffled
# Column 8 = avg time linked merge sort, reversed
# Column 9 = avg time linked merge sort, shuffled
# Column 10 = avg time linked quick sort, reversed
# Column 11 = avg time linked quick sort, shuffled
# Column 12 = avg time linked quick sort random, reversed
# Column 13 = avg time linked quick sort random, shuffled
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
1500 0.00 0.00 4.00 0.00 1.00 0.00 0.00 0.00 17.00 0.00 10.00 0.00
3000 0.00 0.00 18.00 0.00 8.00 0.00 0.00 0.00 70.00 1.00 43.00 1.00
4500 0.00 0.00 41.00 0.00 30.00 0.00 0.00 0.00 158.00 3.00 172.00 2.00
6000 0.00 0.00 73.00 0.00 49.00 0.00 0.00 0.00 291.00 6.00 241.00 4.00
7500 0.00 1.00 113.00 1.00 82.00 1.00 0.00 0.00 592.00 10.00 486.00 7.00
9000 1.00 1.00 164.00 1.00 73.00 1.00 0.00 1.00 1052.00 17.00 545.00 10.00
10500 1.00 1.00 223.00 1.00 137.00 1.00 1.00 1.00 1454.00 26.00 946.00 15.00
12000 1.00 1.00 291.00 1.00 105.00 1.00 1.00 1.00 1889.00 33.00 1221.00 19.00
13500 1.00 2.00 370.00 2.00 198.00 2.00 1.00 2.00 3028.00 46.00 1669.00 25.00
15000 1.00 2.00 456.00 2.00 389.00 2.00 1.00 2.00 3799.00 57.00 3443.00 32.00
