# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = array map insert
# Column 3 = binsearch map insert
# Column 4 = hash map insert
# Column 5 = bst map insert
# Column 6 = array map erase
# Column 7 = binsearch map erase
# Column 8 = hash map erase
# Column 9 = bst map erase
# Column 10 = array map contains
# Column 11 = binsearch map contains
# Column 12 = hash map contains
# Column 13 = bst map contains
# Column 14 = array map find range
# Column 15 = binsearch map find range
# Column 16 = hash map find range
# Column 17 = bst map find range
# Column 18 = array map next key
# Column 19 = binsearch map next key
# Column 20 = hash map next key
# Column 21 = bst map next key
# Column 22 = array map sorted keys
# Column 23 = binsearch map sorted keys
# Column 24 = hash map sorted keys
# Column 25 = bst map sorted keys
# Column 26 = bst map height shuffled
# Column 27 = log base 2 of input size
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 0 
10000 0.07 0.00 0.00 0.01 0.10 0.09 0.00 0.02 0.00 0.10 0.00 0.01 0.00 0.17 0.12 0.01 0.00 0.11 0.11 0.01 1.74 3.50 1.54 0.74 322 14 
20000 0.13 0.00 0.00 0.01 0.12 0.19 0.00 0.03 0.00 0.21 0.00 0.01 0.00 0.37 0.25 0.01 0.00 0.23 0.22 0.01 0.63 3.93 3.02 0.83 635 15 
30000 0.18 0.00 0.00 0.02 0.17 0.28 0.00 0.04 0.00 0.49 0.00 0.03 0.01 0.51 0.36 0.07 0.00 0.36 0.32 0.02 0.92 5.46 4.41 1.01 947 15 
40000 0.38 0.00 0.00 0.03 0.21 0.39 0.00 0.05 0.00 0.41 0.00 0.03 0.00 0.69 0.55 0.03 0.00 0.49 0.45 0.03 1.25 7.37 5.79 1.21 1260 16 
50000 0.26 0.00 0.00 0.03 0.26 0.50 0.00 0.05 0.00 0.50 0.00 0.04 0.05 4.03 0.82 0.74 0.00 1.83 1.33 0.03 2.53 29.06 25.68 4.13 1572 16 
60000 0.40 0.00 0.00 0.40 0.78 0.92 0.00 0.08 0.00 1.07 0.00 0.02 0.01 1.21 1.29 0.06 0.00 0.88 0.65 0.04 2.43 11.92 10.10 2.45 1885 16 
70000 0.33 0.00 0.00 0.02 0.53 1.10 0.00 0.02 0.00 0.86 0.00 0.04 0.06 1.21 1.15 0.10 0.00 1.19 1.78 0.02 2.39 14.13 11.74 3.20 2197 17 
80000 0.46 0.00 0.00 0.08 0.60 1.28 0.00 0.18 0.00 1.08 0.00 0.05 0.09 1.31 1.95 0.16 0.00 1.71 1.73 0.14 2.65 16.35 14.73 4.02 2510 17 
90000 0.34 0.00 0.00 0.09 4.28 1.29 0.00 0.23 0.03 1.93 0.00 0.87 0.16 4.12 2.37 0.15 0.00 5.30 11.45 0.03 7.57 39.49 42.81 15.24 2822 17 
100000 0.34 0.00 0.00 0.33 0.33 0.94 0.00 0.10 0.00 2.46 0.00 1.45 0.09 1.58 3.63 0.99 0.00 2.59 2.50 0.10 3.34 21.70 19.32 5.42 3135 17 
